data_key,urut_nasional,npsn,sekolah,provinsi,rerata,tertinggi,terendah,std_deviasi,jenis
2001,1,20109933,SMAN UNGGULAN M.H. THAMRIN More..,DKI Jakarta,"601,683","653,223","516,063","28,62",SMA
2002,2,20623314,MAN INSAN CENDEKIA SERPONG More..,Banten,"599,654","661,865","509,688","33,37",MA 
2003,3,10263538,SMAS UNGGUL DEL More..,Sumatera Utara,"598,523","654,295","492,703","28,89",SMA
2004,4,20102568,SMAN 8 JAKARTA More..,DKI Jakarta,"594,865","653,18","461,575","31,02",SMA
2005,5,20532248,SMAN 5 SURABAYA More..,Jawa Timur,"594,605","675,373","476,443","31,91",SMA
2006,6,20101306,SMAS 1 KRISTEN BPK PENABUR More..,DKI Jakarta,"594,437","653,618","485,935","32,85",SMA
2007,7,20219730,SMAS BPK 1 PENABUR BANDUNG More..,Jawa Barat,"592,52","654,745","498,65","31,75",SMA
2008,8,20104413,SMAS DIAN HARAPAN More..,DKI Jakarta,"589,811","649,075","499,89","39,79",SMA
2009,9,20403174,SMAN 1 YOGYAKARTA More..,DI Yogyakarta,"588,002","662,698","429,603","34,25",SMA
2010,10,20532145,SMA KATOLIK ST.LOUIS 1 More..,Jawa Timur,"587,81","651,863","511,763","31,73",SMA
2011,11,30315142,SMAN BANUA KAL SEL More..,Kalimantan Selatan,"586,834","639,368","492,293","31,42",SMA
2012,12,20403178,SMAN 3 YOGYAKARTA More..,DI Yogyakarta,"585,96","670,06","488,673","34,08",SMA
2013,13,20107319,SMAN 28 JAKARTA More..,DKI Jakarta,"585,437","660,613","500,708","30,11",SMA
2014,14,20103301,SMAN 81 JAKARTA More..,DKI Jakarta,"585,048","656,79","460,648","35,06",SMA
2015,15,20532136,SMAS KRISTEN PETRA 2 SURABAYA More..,Jawa Timur,"584,729","654,373","506,908","33,06",SMA
2016,16,20100170,SMAS KANISIUS JAKARTA More..,DKI Jakarta,"584,684","647,395","506,95","32,88",SMA
2017,17,20613520,SMAS SANTA LAURENSIA More..,Banten,"584,01","640,62","538,883","29,96",SMA
2018,18,20403161,SMAN 8 YOGYAKARTA More..,DI Yogyakarta,"583,676","658,238","475,623","33,59",SMA
2019,19,20219731,SMAS BINA BHAKTI 1 More..,Jawa Barat,"582,568","637,85","440,128","45,98",SMA
2020,20,20110335,SMAS KRISTEN 6 PENABUR More..,DKI Jakarta,"582,07","638,375","528,033","29,99",SMA
2021,21,20100187,SMAS KRISTEN 3 PENABUR JAKARTA More..,DKI Jakarta,"581,589","646,3","520,143","30,84",SMA
2022,22,20100601,SMAS KRISTEN 5 BPK PENABUR More..,DKI Jakarta,"581,585","653,205","501,073","33,27",SMA
2023,23,20219263,SMAS ALLOYSIUS 1 More..,Jawa Barat,"581,123","646,988","481,745","36,18",SMA
2024,24,20603357,SMAS KRISTEN BPK PENABUR GADING SERPONG More..,Banten,"580,709","641,455","448,723","33,05",SMA
2025,25,20108383,SMAS SANTA URSULA More..,DKI Jakarta,"580,44","635,835","503,538","33,57",SMA
2026,26,20109467,SMAS KRISTEN IPEKA PURI INDAH More..,DKI Jakarta,"580,165","635,518","511,888","36,18",SMA
2027,27,20603376,SMAS SANTA URSULA BSD More..,Banten,"579,837","660,42","486,9","33,73",SMA
2028,28,20107313,SMA LABSCHOOL KEBAYORAN More..,DKI Jakarta,579,"654,923","468,173","37,96",SMA
2029,29,20102214,SMAN 34 JAKARTA More..,DKI Jakarta,"577,815","647,62","484,975","34,11",SMA
2030,30,20616061,SMAS PAHOA More..,Banten,"577,767","652,275","362,283","55,6",SMA
2031,31,20403177,SMAN 2 YOGYAKARTA More..,DI Yogyakarta,"577,078","653,543","488,73","31,7",SMA
2032,32,20616291,SMAS ATHALIA More..,Banten,"576,357","643,128","498,613","42,04",SMA
2033,33,20328915,SMAS KOLESE LOYOLA More..,Jawa Tengah,"576,114","655,025","498,55","31,5",SMA
2034,34,20328895,SMA NEGERI 03 More..,Jawa Tengah,"575,833","654,203","398,56","36,97",SMA
2035,35,20327966,SMAN 1 SURAKARTA More..,Jawa Tengah,"575,671","651,775","490,413","33,17",SMA
2036,36,60728785,MAN Insan Cendekia Gorontalo More..,Gorontalo,"575,538","645,675","444,895","35,02",MA 
2037,37,69895400,SMA BPK PENABUR HOLIS More..,Jawa Barat,"575,228","623,703","487,223","35,2",SMA
2038,38,69787002,SMAK PENABUR KOTA TANGERANG More..,Banten,"575,117","649,7","444,39","40,4",SMA
2039,39,20220342,SMAN 1 BOGOR More..,Jawa Barat,"574,94","681,885","436,513","40,01",SMA
2040,40,20533665,SMAN 3 More..,Jawa Timur,"574,806","656,79","447,24","37,74",SMA
2041,41,20403171,SMAN 6 YOGYAKARTA More..,DI Yogyakarta,"574,582","642,273","458,115","33,49",SMA
2042,42,20533654,SMAS K KOLESE ST YUSUP More..,Jawa Timur,"574,527","650,7","432,91","39,82",SMA
2043,43,20101622,SMAN 2 JAKARTA More..,DKI Jakarta,"574,511","664,248","496,863",33,SMA
2044,44,20100199,SMAN 68 JAKARTA More..,DKI Jakarta,"573,89","641,048","442,178","34,75",SMA
2045,45,69941723,MAN INSAN CENDEKIA PEKALONGAN More..,Jawa Tengah,"573,763","641,908","473,25","34,64",MA 
2046,46,20101588,SMAN 78 JAKARTA More..,DKI Jakarta,"572,779","647,73","444,698","40,8",SMA
2047,47,20400405,SMA NEGERI 1 BANTUL More..,DI Yogyakarta,"572,747","646,158","484,05","32,38",SMA
