data_key,detail,urut_nasional,urut_provinsi,rerata,nilai_tertinggi,nilai_terendah,standar_deviasi
2001,Kemampuan Kuantitatif,2,1,640.253,721.15,511.14,44.1
2001,Kemampuan Memahami Bacaan dan Menulis,5,1,589.104,709.61,371.88,65.96
2001,Kemampuan Penalaran Umum,1,1,581.979,628.73,478.31,32.68
2001,Pengetahuan dan Pemahaman Umum,1,1,595.396,670.72,415.39,57.33
2002,Kemampuan Kuantitatif,8,2,628.725,715.49,481.6,54.25
2002,Kemampuan Memahami Bacaan dan Menulis,1,1,598.09,712.6,368.42,51.08
2002,Kemampuan Penalaran Umum,3,1,579.959,649.13,481.77,31.61
2002,Pengetahuan dan Pemahaman Umum,3,1,591.843,704.09,382.34,68.38
2003,Kemampuan Kuantitatif,1,1,654.285,720.57,482.11,43.6
2003,Kemampuan Memahami Bacaan dan Menulis,2,1,592.814,706.68,444.62,47.11
2003,Kemampuan Penalaran Umum,7,1,575.067,640.13,470.66,32.65
2003,Pengetahuan dan Pemahaman Umum,18,1,571.927,731.95,356.5,75.51
2004,Kemampuan Kuantitatif,4,2,635.235,721.82,403.94,52.5
2004,Kemampuan Memahami Bacaan dan Menulis,15,5,583.244,720.9,333.84,65.1
2004,Kemampuan Penalaran Umum,11,5,570.441,645.89,453.04,37.15
2004,Pengetahuan dan Pemahaman Umum,4,3,590.54,696.84,345.94,60.66
2005,Kemampuan Kuantitatif,9,1,623.709,732.73,398.06,54.84
2005,Kemampuan Memahami Bacaan dan Menulis,6,1,588.156,723.85,362.99,52.58
2005,Kemampuan Penalaran Umum,4,1,579.398,648.4,464.17,33.23
2005,Pengetahuan dan Pemahaman Umum,5,1,587.157,725.68,394.87,56.3
2006,Kemampuan Kuantitatif,5,3,634.465,707.93,452.0,49.98
2006,Kemampuan Memahami Bacaan dan Menulis,11,3,585.128,677.32,386.85,62.1
2006,Kemampuan Penalaran Umum,2,2,580.771,648.29,472.39,36.63
2006,Pengetahuan dan Pemahaman Umum,9,5,577.386,688.98,363.7,72.83
2007,Kemampuan Kuantitatif,3,1,635.689,731.78,459.21,56.81
2007,Kemampuan Memahami Bacaan dan Menulis,8,1,587.604,684.64,482.73,44.0
2007,Kemampuan Penalaran Umum,12,1,570.432,655.56,468.09,35.67
2007,Pengetahuan dan Pemahaman Umum,12,1,576.356,689.81,394.43,65.49
2008,Kemampuan Kuantitatif,50,20,600.316,696.83,402.93,81.9
2008,Kemampuan Memahami Bacaan dan Menulis,7,2,587.998,648.29,467.46,50.49
2008,Kemampuan Penalaran Umum,5,3,578.543,627.89,509.15,31.82
2008,Pengetahuan dan Pemahaman Umum,2,2,592.388,664.67,494.52,47.98
2009,Kemampuan Kuantitatif,19,2,617.888,720.83,404.22,58.49
2009,Kemampuan Memahami Bacaan dan Menulis,4,2,590.153,691.91,429.15,47.37
2009,Kemampuan Penalaran Umum,19,3,567.687,655.86,438.92,38.05
2009,Pengetahuan dan Pemahaman Umum,13,1,576.282,683.09,353.48,71.18
2010,Kemampuan Kuantitatif,16,2,619.267,713.46,424.71,57.33
